table,kind,file,size_MB,description,manuscript_anchor,source_in_repo
Table S1,table,Table_S01_pos1_pilot_strain_phenotypes.csv.gz,0.01,"Per-strain pos-1 RNAi response for the 231-isotype pilot pool. Columns: delta_ctrl_pos-1_T2 (RNAi minus control change in pool frequency), vst_ctrl_pos-1_T2 (variance-stabilised, the trait the association scan was run on), log2fc_ctrl_pos-1_T2 (the log2 ratio), and two negative-control columns, growth on HT115 against t0 and log10 control abundance.",231 pooled wild isolates,supplemental_data/phenotypes/pos1_2023_association_traits.csv.gz
Table S2,table,Table_S02_simulation_recovery_by_depth_a.tsv; Table_S02_simulation_recovery_by_depth_b.tsv,0.05,"Deconvolution recovery in simulation. r-squared of estimated against known input frequency for each of seven fitness traits at eight sequencing depths, over ten seeded replicates, plus the seven trait vectors used as fitness and the strains carrying each.",NNLS recovered strain frequencies,supplemental_data/deconvolution/simulation_seeded_r2.tsv; supplemental_data/deconvolution/simulation_fitness_traits.tsv
Table S3,table,Table_S03_known_mixture_design_and_recovery_a.tsv; Table_S03_known_mixture_design_and_recovery_b.tsv; Table_S03_known_mixture_design_and_recovery_c.tsv.gz,0.03,"The designed DNA mixture, in three parts: (a) the titration design, giving each sample's set B and set C volumes, water, total DNA mass and nominal set fractions; (b) which of the four sets each strain belongs to, with its isotype; (c) the recovered per-strain frequency in every library.",root mean squared error,supplemental_data/deconvolution/dilution_design.tsv; supplemental_data/deconvolution/dilution_strain_sets.tsv; supplemental_data/deconvolution/dilution_predictions_poolref.tsv.gz
Table S4,table,Table_S04_nnls_vs_mipseq_frequencies_a.tsv.gz; Table_S04_nnls_vs_mipseq_frequencies_b.txt.gz,0.08,"Per-strain, per-sample frequencies from this platform (NNLS on whole-genome sequence) beside the published MIP-seq frequencies for the same 23 samples of the L1 starvation time course. The basis for the platform comparison.",highly correlated with those derived from MIP-seq,supplemental_data/deconvolution/baugh_nnls_dep103_with_mipseq.tsv.gz; supplemental_data/deconvolution/mipseq_frequencies.txt.gz
Table S5,table,Table_S05_downsampling_recovery.tsv,0.00,"Recovery of the two published traits at each subsampled depth (0.25, 0.5, 1, 3, 5 and 10x): Spearman correlation against the published PC1 and Slope, and against Slope computed on the difference-based definition used here.",as we downsampled reads,supplemental_data/deconvolution/baugh_downsample_trait_recovery.tsv
Table S6,table,Table_S06_pos1_pilot_replicate_frequencies.csv.gz,0.16,Sample-level strain frequencies for the pilot pool: four pos-1 replicate pools and two control pools at three read-depth cutoffs. Supports the replicate-agreement comparison and the per-isolate responsiveness counts.,across all six pairwise replicate comparisons,supplemental_data/phenotypes/pos1_2023_sample_frequencies.csv.gz
Table S7,dataset,Table_S07_pos1_pilot_gwas.csv.gz,7.52,"Genome-wide association results for the pilot pos-1 response, 464,045 markers over 231 strains, GEMMA with leave-one-chromosome-out kinship.",genome-wide association scan on the pos-1 responses,supplemental_data/mapping/pos1_2023_gemma_loco.csv.gz
Table S8,table,Table_S08_gwas_significance_thresholds.tsv,0.00,"Effective number of independent tests by the Li and Ji (2005) eigenvalue method, per panel and per chromosome, with the marker counts, the imputed fraction, the trace check, and the resulting Bonferroni and eigenvalue thresholds drawn on every association panel.",passed the Bonferroni significance threshold,supplemental_data/mapping/eigen_independent_tests.tsv
Table S9,table,Table_S09_manual_plate_scores.tsv,0.00,"Manual pos-1 RNAi score per wild isolate, on a six-level ordinal scale where 0 is a complete RNAi response and 5 is none. Two columns, strain and score; which strains were carried into the 93-strain pool is not recorded here.",191 wild strains,supplemental_data/phenotypes/plate_scores_pos1.tsv
Table S10,table,Table_S10_paaby2015_comparison.txt.gz,0.58,"Well-level embryo and larva counts from Paaby et al. 2015, restricted to the pos-1 clone, as used for the independent comparison against the manual plate scores.",previously published evaluation of wild isolate RNAi responses,supplemental_data/phenotypes/paaby2015_embryonic_lethality.txt.gz
